Start_UTC,, Latitude, Longitude, GPS_Alt, qual_flag, amass_aer, AOD0355, AOD0380, AOD0452, AOD0470, AOD0501, AOD0520, AOD0530, AOD0532, AOD0550, AOD0606, AOD0620, AOD0660, AOD0675, AOD0700, AOD0781, AOD0865, AOD1020, AOD1040, AOD1064, AOD1236, AOD1250, AOD1559, AOD1627, AOD1650, UNCAOD0355, UNCAOD0380, UNCAOD0452, UNCAOD0470, UNCAOD0501, UNCAOD0520, UNCAOD0530, UNCAOD0532, UNCAOD0550, UNCAOD0606, UNCAOD0620, UNCAOD0660, UNCAOD0675, UNCAOD0700, UNCAOD0781, UNCAOD0865, UNCAOD1020, UNCAOD1040, UNCAOD1064, UNCAOD1236, UNCAOD1250, UNCAOD1559, UNCAOD1627, UNCAOD1650
32967,9:09:27,-18.7194856,8.6590971,781.3,1,1.309,2.421,2.446,2.513,2.529,2.562,2.576,2.586,2.587,2.601,2.658,2.673,2.708,2.724,2.763,2.827,2.908,2.573,2.608,2.645,2.705,2.766,2.757,2.505,2.233,0.035,0.033,0.026,0.02,0.019,0.02,0.019,0.02,0.018,0.015,0.015,0.017,0.014,0.016,0.011,0.015,0.027,0.039,0.034,0.035,0.038,0.137,0.073,0.315
32968,9:09:28,-18.7185481,8.6582452,784.2,1,1.309,3.149,3.196,3.279,3.298,3.33,3.356,3.372,3.376,3.391,3.453,3.469,3.518,3.526,3.577,3.657,3.729,3.407,4.396,3.609,3.398,4.031,3.407,3.376,2.588,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
32969,9:09:29,-18.7169265,8.6565335,790.5,1,1.309,4.614,4.814,4.959,4.992,5.027,5.055,5.063,5.067,5.063,5.168,5.177,5.239,5.207,5.24,5.316,5.382,3.437,4.703,3.984,3.399,4.517,3.537,3.72,2.601,0.654,0.653,0.65,0.648,0.647,0.648,0.648,0.648,0.647,0.647,0.648,0.651,0.649,0.65,0.651,0.662,0.881,0.92,0.977,1.96,3.911,1.852,14.178,1.237
32970,9:09:30,-18.7162257,8.6557938,793.6,1,1.309,4.614,4.814,4.959,4.992,5.027,5.055,5.063,5.067,5.063,5.168,5.177,5.239,5.207,5.24,5.316,5.382,3.437,4.703,3.984,3.399,4.517,3.537,3.72,2.601,0.654,0.653,0.65,0.648,0.647,0.648,0.648,0.648,0.647,0.647,0.648,0.651,0.649,0.65,0.651,0.662,0.881,0.92,0.977,1.96,3.911,1.852,14.178,1.237
32971,9:09:31,-18.7156029,8.6551364,796.3,1,1.309,4.231,4.214,4.191,4.165,4.141,4.128,4.114,4.116,4.102,4.05,4.052,4.028,4.013,4.019,3.961,3.944,3.357,4.265,3.541,3.399,3.799,3.206,3.266,3.102,0.433,0.431,0.434,0.432,0.431,0.432,0.432,0.432,0.432,0.432,0.433,0.437,0.434,0.436,0.437,0.438,0.515,0.526,0.574,0.524,0.513,0.63,0.88,27.018
32972,9:09:32,-18.7149665,8.6544665,799.1,1,1.309,4.231,4.214,4.191,4.165,4.141,4.128,4.114,4.116,4.102,4.05,4.052,4.028,4.013,4.019,3.961,3.944,3.357,4.265,3.541,3.399,3.799,3.206,3.266,3.102,0.433,0.431,0.434,0.432,0.431,0.432,0.432,0.432,0.432,0.432,0.433,0.437,0.434,0.436,0.437,0.438,0.515,0.526,0.574,0.524,0.513,0.63,0.88,27.018
32973,9:09:33,-18.7139185,8.6534185,803.6,1,1.309,0.558,0.558,0.551,0.551,0.548,0.544,0.542,0.543,0.541,0.538,0.536,0.535,0.534,0.549,0.535,0.536,0.841,0.848,0.851,0.884,0.896,0.928,0.926,0.946,0.035,0.033,0.028,0.022,0.022,0.022,0.021,0.022,0.02,0.017,0.018,0.019,0.017,0.018,0.014,0.014,0.023,0.016,0.016,0.012,0.015,0.024,0.016,0.041
32974,9:09:34,-18.7129198,8.6523998,808,1,1.309,0.558,0.558,0.551,0.551,0.548,0.544,0.542,0.543,0.541,0.538,0.536,0.535,0.534,0.549,0.535,0.536,0.841,0.848,0.851,0.884,0.896,0.928,0.926,0.946,0.035,0.033,0.028,0.022,0.022,0.022,0.021,0.022,0.02,0.017,0.018,0.019,0.017,0.018,0.014,0.014,0.023,0.016,0.016,0.012,0.015,0.024,0.016,0.041
32975,9:09:35,-18.7120971,8.6514971,812.5,1,1.308,2.261,2.295,2.352,2.368,2.393,2.411,2.416,2.42,2.436,2.486,2.499,2.541,2.552,2.593,2.652,2.724,2.928,3.104,3.073,3.003,3.184,3.399,3.267,2.43,0.035,0.034,0.027,0.022,0.02,0.021,0.021,0.022,0.02,0.016,0.017,0.019,0.016,0.018,0.014,0.015,0.041,0.071,0.062,0.077,0.076,1.25,0.751,0.702
32976,9:09:36,-18.7112481,8.6506452,816.2,1,1.308,1.205,1.214,1.233,1.239,1.247,1.25,1.255,1.255,1.261,1.281,1.284,1.303,1.31,1.333,1.356,1.39,1.736,1.737,1.76,1.841,1.853,1.963,1.828,1.708,0.034,0.032,0.026,0.02,0.02,0.02,0.02,0.02,0.018,0.014,0.016,0.017,0.013,0.016,0.01,0.011,0.02,0.02,0.019,0.016,0.017,0.046,0.027,0.112
32977,9:09:37,-18.7096265,8.6489335,823.4,1,1.308,2.145,2.17,2.228,2.24,2.267,2.28,2.288,2.293,2.306,2.351,2.362,2.402,2.413,2.446,2.498,2.567,1.74,1.742,1.762,1.854,1.845,1.91,1.849,1.723,0.037,0.034,0.027,0.022,0.021,0.021,0.02,0.021,0.02,0.016,0.017,0.018,0.016,0.017,0.015,0.017,0.02,0.02,0.019,0.015,0.017,0.043,0.035,0.114
32978,9:09:38,-18.7087408,8.6480408,828.2,1,1.308,2.175,2.197,2.246,2.262,2.286,2.297,2.305,2.305,2.32,2.363,2.371,2.404,2.419,2.453,2.5,2.56,2.931,3.232,3.098,3.034,3.306,3.146,2.92,2.462,0.033,0.032,0.025,0.019,0.019,0.019,0.019,0.019,0.017,0.014,0.015,0.016,0.012,0.015,0.01,0.012,0.039,0.074,0.069,0.072,0.092,0.333,0.164,0.804
32979,9:09:39,-18.707918,8.647218,832,1,1.308,2.922,2.97,3.045,3.064,3.1,3.119,3.127,3.128,3.147,3.207,3.218,3.266,3.278,3.323,3.393,3.479,2.763,2.887,2.879,2.863,3.005,3.014,2.559,2.333,0.035,0.032,0.025,0.02,0.019,0.019,0.019,0.019,0.018,0.015,0.015,0.017,0.014,0.016,0.012,0.019,0.032,0.05,0.046,0.042,0.052,0.244,0.089,0.468
32980,9:09:40,-18.7071041,8.6463378,835.6,1,1.308,2.148,2.17,2.223,2.239,2.261,2.274,2.278,2.28,2.3,2.335,2.349,2.376,2.389,2.419,2.465,2.52,3.122,3.502,3.217,3.118,3.394,3.128,2.949,2.758,0.033,0.032,0.025,0.019,0.019,0.019,0.019,0.019,0.016,0.014,0.015,0.016,0.013,0.015,0.011,0.012,0.056,0.106,0.099,0.128,0.123,0.311,0.185,1.698
32981,9:09:41,-18.7062282,8.6454854,839.3,1,1.308,2.919,2.958,3.041,3.063,3.098,3.113,3.124,3.128,3.143,3.204,3.222,3.261,3.275,3.313,3.386,3.472,3.264,3.99,3.389,3.243,3.668,3.819,3.624,3.223,0.035,0.033,0.025,0.019,0.019,0.019,0.019,0.019,0.017,0.014,0.015,0.016,0.014,0.016,0.013,0.019,0.105,0.25,0.158,0.162,0.355,7.485,1.293,4.513
32982,9:09:42,-18.7053784,8.6446628,842.9,1,1.308,2.919,2.958,3.041,3.063,3.098,3.113,3.124,3.128,3.143,3.204,3.222,3.261,3.275,3.313,3.386,3.472,3.264,3.99,3.389,3.243,3.668,3.819,3.624,3.223,0.035,0.033,0.025,0.019,0.019,0.019,0.019,0.019,0.017,0.014,0.015,0.016,0.014,0.016,0.013,0.019,0.105,0.25,0.158,0.162,0.355,7.485,1.293,4.513
32983,9:09:43,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
32984,9:09:44,-18.7037934,8.6430191,849.9,1,1.308,4.443,4.468,4.405,4.396,4.365,4.336,4.34,4.337,4.312,4.266,4.258,4.231,4.226,4.22,4.176,4.136,3.439,4.311,3.425,3.31,3.71,3.323,3.625,2.652,0.62,0.616,0.612,0.609,0.608,0.609,0.608,0.608,0.607,0.605,0.607,0.609,0.607,0.608,0.606,0.608,0.622,0.671,0.634,0.728,0.631,0.921,1.421,2.03
32985,9:09:45,-18.7029679,8.6421679,853.6,1,1.308,4.443,4.468,4.405,4.396,4.365,4.336,4.34,4.337,4.312,4.266,4.258,4.231,4.226,4.22,4.176,4.136,3.439,4.311,3.425,3.31,3.71,3.323,3.625,2.652,0.62,0.616,0.612,0.609,0.608,0.609,0.608,0.608,0.607,0.605,0.607,0.609,0.607,0.608,0.606,0.608,0.622,0.671,0.634,0.728,0.631,0.921,1.421,2.03
32986,9:09:46,-18.7019109,8.6411109,858.3,1,1.308,1.651,1.654,1.686,1.693,1.705,1.71,1.717,1.716,1.725,1.749,1.754,1.772,1.78,1.804,1.828,1.873,1.506,1.511,1.523,1.602,1.605,1.69,1.698,1.56,0.034,0.032,0.025,0.02,0.019,0.019,0.019,0.019,0.017,0.013,0.015,0.016,0.013,0.015,0.01,0.013,0.019,0.018,0.018,0.014,0.018,0.033,0.027,0.084
32987,9:09:47,-18.7009525,8.6401525,862.5,1,1.308,1.651,1.654,1.686,1.693,1.705,1.71,1.717,1.716,1.725,1.749,1.754,1.772,1.78,1.804,1.828,1.873,1.506,1.511,1.523,1.602,1.605,1.69,1.698,1.56,0.034,0.032,0.025,0.02,0.019,0.019,0.019,0.019,0.017,0.013,0.015,0.016,0.013,0.015,0.01,0.013,0.019,0.018,0.018,0.014,0.018,0.033,0.027,0.084
32988,9:09:48,-18.7001332,8.6393036,866.2,1,1.308,0.706,0.705,0.705,0.707,0.708,0.707,0.708,0.708,0.71,0.716,0.715,0.723,0.727,0.743,0.747,0.762,1.41,1.418,1.434,1.49,1.503,1.592,1.623,1.467,0.034,0.032,0.026,0.021,0.02,0.021,0.02,0.021,0.018,0.015,0.017,0.018,0.016,0.017,0.013,0.011,0.021,0.017,0.018,0.013,0.015,0.034,0.025,0.074
32989,9:09:49,-18.6993198,8.6384198,869.8,1,1.308,1.635,1.645,1.676,1.684,1.7,1.706,1.71,1.713,1.723,1.753,1.757,1.783,1.79,1.82,1.855,1.903,1.157,1.164,1.171,1.219,1.23,1.272,1.293,1.258,0.033,0.032,0.025,0.019,0.019,0.019,0.019,0.018,0.017,0.014,0.015,0.016,0.012,0.015,0.01,0.011,0.02,0.016,0.017,0.013,0.014,0.022,0.016,0.053
32990,9:09:50,-18.6984971,8.6375971,873.6,1,1.308,0.797,0.794,0.786,0.786,0.784,0.781,0.781,0.78,0.781,0.782,0.78,0.782,0.785,0.801,0.796,0.801,3.082,3.608,3.274,3.204,3.538,3.821,3.181,2.499,0.033,0.032,0.025,0.019,0.019,0.019,0.019,0.018,0.017,0.014,0.015,0.016,0.013,0.016,0.01,0.011,0.063,0.122,0.091,0.102,0.157,7.488,0.494,0.942
32991,9:09:51,-18.6976481,8.6367481,878.3,1,1.308,2.397,2.434,2.484,2.496,2.519,2.533,2.539,2.539,2.556,2.598,2.608,2.645,2.653,2.689,2.748,2.818,2.928,3.13,3.066,2.989,3.179,3.098,2.576,2.265,0.035,0.032,0.025,0.02,0.019,0.02,0.019,0.019,0.017,0.014,0.016,0.016,0.014,0.016,0.011,0.013,0.039,0.068,0.057,0.067,0.06,0.274,0.095,0.353
32992,9:09:52,-18.6960265,8.6351265,887.3,1,1.307,2.803,2.822,2.884,2.904,2.932,2.947,2.959,2.965,2.979,3.028,3.041,3.08,3.089,3.132,3.199,3.261,3.339,4.251,3.468,3.402,3.825,3.541,3.375,2.67,0.034,0.032,0.025,0.019,0.019,0.019,0.019,0.019,0.017,0.014,0.015,0.016,0.014,0.016,0.012,0.017,0.127,0.251,0.246,0.24,0.478,1.73,0.68,1.297
32993,9:09:53,-18.6951408,8.6341565,893.1,1,1.307,2.443,2.465,2.513,2.527,2.551,2.562,2.568,2.572,2.587,2.628,2.635,2.666,2.679,2.713,2.767,2.824,3.068,3.483,3.166,3.094,3.379,3.167,3.02,2.898,0.034,0.032,0.025,0.019,0.019,0.019,0.019,0.019,0.016,0.014,0.015,0.016,0.012,0.016,0.01,0.013,0.053,0.118,0.079,0.114,0.135,0.359,0.246,2.467
32994,9:09:54,-18.6942539,8.6332539,899,1,1.307,2.443,2.465,2.513,2.527,2.551,2.562,2.568,2.572,2.587,2.628,2.635,2.666,2.679,2.713,2.767,2.824,3.068,3.483,3.166,3.094,3.379,3.167,3.02,2.898,0.034,0.032,0.025,0.019,0.019,0.019,0.019,0.019,0.016,0.014,0.015,0.016,0.012,0.016,0.01,0.013,0.053,0.118,0.079,0.114,0.135,0.359,0.246,2.467
32995,9:09:55,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
32996,9:09:56,-18.6924539,8.6314539,911,1,1.307,5.376,5.303,5.314,5.303,5.299,5.262,5.265,5.281,5.263,5.261,5.293,5.279,5.254,5.288,5.278,5.33,3.361,4.551,3.708,3.403,3.763,3.644,3.064,2.736,0.421,0.362,0.354,0.351,0.351,0.352,0.352,0.353,0.353,0.354,0.356,0.36,0.357,0.36,0.362,0.381,5.267,0.599,1.034,0.658,1.069,1.917,0.485,3.038
32997,9:09:57,-18.6916273,8.6305755,916.1,1,1.307,5.376,5.303,5.314,5.303,5.299,5.262,5.265,5.281,5.263,5.261,5.293,5.279,5.254,5.288,5.278,5.33,3.361,4.551,3.708,3.403,3.763,3.644,3.064,2.736,0.421,0.362,0.354,0.351,0.351,0.352,0.352,0.353,0.353,0.354,0.356,0.36,0.357,0.36,0.362,0.381,5.267,0.599,1.034,0.658,1.069,1.917,0.485,3.038
32998,9:09:58,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
32999,9:09:59,-18.6900043,8.6288277,926.1,1,1.307,4.244,4.251,4.208,4.187,4.156,4.128,4.127,4.119,4.11,4.067,4.047,4.026,4.005,4.006,3.949,3.905,3.186,4.044,3.392,3.246,3.646,3.542,3.182,2.899,0.067,0.048,0.028,0.022,0.021,0.022,0.021,0.021,0.019,0.018,0.017,0.019,0.017,0.021,0.017,0.026,0.099,0.198,0.186,0.24,0.257,1.731,0.494,2.468
33000,9:10:00,-18.6891746,8.6279544,930.6,1,1.307,4.244,4.251,4.208,4.187,4.156,4.128,4.127,4.119,4.11,4.067,4.047,4.026,4.005,4.006,3.949,3.905,3.186,4.044,3.392,3.246,3.646,3.542,3.182,2.899,0.067,0.048,0.028,0.022,0.021,0.022,0.021,0.021,0.019,0.018,0.017,0.019,0.017,0.021,0.017,0.026,0.099,0.198,0.186,0.24,0.257,1.731,0.494,2.468
33001,9:10:01,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
33002,9:10:02,-18.6874934,8.6262085,939,1,1.307,4.213,4.232,4.256,4.257,4.232,4.213,4.207,4.209,4.198,4.18,4.182,4.144,4.146,4.148,4.077,4.041,3.362,4.556,3.615,3.404,3.827,3.468,3.064,2.553,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
33003,9:10:03,-18.6865377,8.6252377,943.5,1,1.307,4.213,4.232,4.256,4.257,4.232,4.213,4.207,4.209,4.198,4.18,4.182,4.144,4.146,4.148,4.077,4.041,3.362,4.556,3.615,3.404,3.827,3.468,3.064,2.553,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
33004,9:10:04,-18.6854807,8.6241807,948.2,1,1.307,0.514,0.51,0.493,0.489,0.483,0.477,0.475,0.477,0.472,0.463,0.46,0.457,0.456,0.467,0.449,0.445,0.035,0.037,0.037,0.039,0.047,0.029,0.018,0.035,0.036,0.035,0.031,0.024,0.023,0.023,0.022,0.024,0.02,0.017,0.019,0.019,0.017,0.018,0.014,0.016,0.019,0.017,0.017,0.013,0.014,0.02,0.01,0.036
33005,9:10:05,-18.6846278,8.6232532,952,1,1.307,0.16,0.153,0.132,0.127,0.119,0.112,0.109,0.109,0.106,0.094,0.09,0.083,0.083,0.092,0.071,0.062,0.411,0.417,0.417,0.437,0.444,0.449,0.447,0.458,0.035,0.033,0.027,0.021,0.02,0.02,0.021,0.022,0.019,0.015,0.017,0.018,0.014,0.016,0.01,0.011,0.018,0.015,0.017,0.012,0.014,0.014,0.021,0.026
33006,9:10:06,-18.6838742,8.6224085,955.6,1,1.307,0.308,0.301,0.286,0.282,0.276,0.269,0.268,0.268,0.266,0.258,0.255,0.252,0.253,0.264,0.249,0.246,0.084,0.086,0.085,0.089,0.094,0.078,0.069,0.081,0.034,0.033,0.027,0.021,0.021,0.021,0.021,0.021,0.019,0.015,0.017,0.019,0.014,0.017,0.012,0.011,0.019,0.015,0.016,0.011,0.013,0.012,0.009,0.028
33007,9:10:07,-18.6830854,8.6215854,959.9,1,1.307,0.626,0.625,0.621,0.623,0.622,0.619,0.619,0.619,0.62,0.621,0.619,0.621,0.626,0.638,0.638,0.647,0.547,0.552,0.555,0.587,0.591,0.605,0.604,0.613,0.038,0.037,0.03,0.024,0.022,0.023,0.023,0.024,0.022,0.018,0.019,0.02,0.017,0.02,0.015,0.015,0.022,0.018,0.02,0.012,0.015,0.016,0.022,0.032
33008,9:10:08,-18.6822686,8.6207686,963.9,1,1.307,0.626,0.625,0.621,0.623,0.622,0.619,0.619,0.619,0.62,0.621,0.619,0.621,0.626,0.638,0.638,0.647,0.547,0.552,0.555,0.587,0.591,0.605,0.604,0.613,0.038,0.037,0.03,0.024,0.022,0.023,0.023,0.024,0.022,0.018,0.019,0.02,0.017,0.02,0.015,0.015,0.022,0.018,0.02,0.012,0.015,0.016,0.022,0.032
33009,9:10:09,-18.6814911,8.6199525,967.5,1,1.306,0.632,0.631,0.628,0.628,0.627,0.625,0.624,0.626,0.626,0.628,0.626,0.628,0.632,0.646,0.645,0.654,0.126,0.131,0.131,0.14,0.143,0.131,0.119,0.123,0.038,0.036,0.031,0.024,0.024,0.024,0.024,0.024,0.021,0.017,0.019,0.021,0.016,0.019,0.014,0.013,0.021,0.016,0.018,0.012,0.014,0.014,0.01,0.03
33010,9:10:10,-18.6807293,8.6191293,971.5,1,1.306,0.397,0.394,0.385,0.385,0.383,0.378,0.378,0.379,0.378,0.377,0.373,0.372,0.375,0.389,0.382,0.385,0.739,0.749,0.755,0.793,0.8,0.845,0.852,0.874,0.037,0.035,0.03,0.023,0.022,0.022,0.022,0.022,0.02,0.016,0.019,0.02,0.015,0.018,0.012,0.012,0.021,0.017,0.017,0.012,0.015,0.016,0.015,0.039
33011,9:10:11,-18.6799095,8.6182883,976.1,1,1.306,0.259,0.252,0.238,0.238,0.232,0.226,0.224,0.224,0.223,0.215,0.212,0.208,0.21,0.219,0.206,0.204,0.038,0.042,0.04,0.047,0.051,0.033,0.027,0.031,0.038,0.04,0.032,0.026,0.025,0.025,0.024,0.024,0.021,0.018,0.019,0.021,0.018,0.019,0.014,0.016,0.021,0.017,0.022,0.017,0.02,0.02,0.018,0.035
33012,9:10:12,-18.6791085,8.6173971,980.6,1,1.306,0.114,0.109,0.091,0.09,0.083,0.076,0.073,0.074,0.071,0.061,0.055,0.049,0.051,0.058,0.04,0.032,0.026,0.028,0.028,0.033,0.037,0.018,0.011,0.013,0.038,0.037,0.031,0.024,0.024,0.024,0.023,0.023,0.021,0.018,0.019,0.021,0.019,0.019,0.014,0.014,0.024,0.017,0.017,0.013,0.016,0.023,0.017,0.03
33013,9:10:13,-18.6783481,8.6165481,985.3,1,1.306,0.111,0.105,0.087,0.084,0.077,0.07,0.068,0.068,0.066,0.055,0.05,0.042,0.044,0.052,0.035,0.025,0.041,0.043,0.042,0.049,0.053,0.041,0.028,0.03,0.037,0.035,0.028,0.022,0.021,0.021,0.021,0.021,0.019,0.015,0.017,0.018,0.013,0.017,0.011,0.012,0.019,0.016,0.017,0.013,0.014,0.013,0.01,0.023
36492,10:08:12,-15.4418282,5.4169854,1164.6,0,1.148,0.435,0.409,0.335,0.321,0.294,0.275,0.266,0.265,0.252,0.215,0.203,0.18,0.175,0.185,0.132,0.102,0.073,0.076,0.071,0.067,0.068,0.042,0.022,0.027,0.024,0.023,0.018,0.013,0.014,0.014,0.014,0.014,0.012,0.009,0.01,0.012,0.009,0.011,0.007,0.006,0.014,0.014,0.013,0.012,0.012,0.012,0.008,0.016
36493,10:08:13,-15.4409686,5.4161686,1159.6,0,1.148,0.435,0.409,0.335,0.321,0.294,0.275,0.266,0.265,0.252,0.215,0.203,0.18,0.175,0.185,0.132,0.102,0.073,0.076,0.071,0.067,0.068,0.042,0.022,0.027,0.024,0.023,0.018,0.013,0.014,0.014,0.014,0.014,0.012,0.009,0.01,0.012,0.009,0.011,0.007,0.006,0.014,0.014,0.013,0.012,0.012,0.012,0.008,0.016
36494,10:08:14,-15.4401139,5.4153525,1155.1,0,1.148,0.438,0.413,0.34,0.326,0.298,0.278,0.269,0.269,0.255,0.218,0.207,0.182,0.177,0.19,0.134,0.104,0.077,0.078,0.075,0.068,0.071,0.043,0.025,0.029,0.021,0.02,0.014,0.01,0.011,0.011,0.012,0.011,0.009,0.007,0.008,0.01,0.005,0.008,0.004,0.005,0.013,0.013,0.013,0.012,0.012,0.01,0.023,0.018
36495,10:08:15,-15.4391993,5.4144993,1150.5,0,1.148,0.439,0.41,0.339,0.325,0.297,0.279,0.269,0.269,0.256,0.219,0.206,0.182,0.177,0.189,0.133,0.104,0.075,0.078,0.074,0.067,0.069,0.04,0.025,0.029,0.02,0.02,0.014,0.01,0.011,0.011,0.011,0.01,0.009,0.007,0.007,0.008,0.005,0.008,0.004,0.004,0.013,0.013,0.013,0.012,0.012,0.014,0.007,0.012
36496,10:08:16,-15.4383095,5.4136095,1145.7,0,1.148,0.441,0.415,0.342,0.328,0.299,0.28,0.271,0.271,0.258,0.22,0.208,0.184,0.178,0.19,0.135,0.107,0.079,0.083,0.078,0.072,0.075,0.05,0.029,0.032,0.024,0.023,0.021,0.015,0.016,0.015,0.015,0.016,0.014,0.011,0.012,0.012,0.01,0.012,0.009,0.009,0.017,0.013,0.013,0.012,0.013,0.016,0.009,0.013
36497,10:08:17,-15.4374856,5.4127971,1140.3,1,1.148,0.48,0.453,0.38,0.366,0.338,0.32,0.311,0.311,0.298,0.261,0.249,0.226,0.22,0.233,0.178,0.149,0.599,0.608,0.607,0.628,0.633,0.653,0.652,0.655,0.022,0.02,0.015,0.011,0.011,0.011,0.012,0.011,0.009,0.008,0.008,0.01,0.005,0.009,0.004,0.006,0.013,0.013,0.014,0.013,0.014,0.012,0.01,0.018
36498,10:08:18,-15.4365452,5.4119481,1134.7,1,1.148,1.082,1.059,1.001,0.991,0.97,0.954,0.949,0.949,0.94,0.917,0.907,0.894,0.892,0.912,0.876,0.871,1.205,1.215,1.214,1.274,1.276,1.339,1.335,1.342,0.022,0.021,0.014,0.01,0.011,0.011,0.012,0.011,0.01,0.007,0.007,0.008,0.005,0.009,0.004,0.005,0.015,0.015,0.013,0.012,0.013,0.016,0.019,0.031
36499,10:08:19,-15.4348335,5.4103265,1125.7,1,1.148,0.84,0.814,0.751,0.738,0.715,0.698,0.691,0.691,0.68,0.651,0.64,0.624,0.62,0.637,0.593,0.578,0.698,0.702,0.705,0.73,0.735,0.759,0.746,0.756,0.021,0.02,0.015,0.01,0.011,0.011,0.011,0.011,0.01,0.008,0.008,0.008,0.006,0.009,0.005,0.005,0.018,0.013,0.013,0.012,0.012,0.014,0.012,0.017
36500,10:08:20,-15.4338565,5.4094408,1119.9,1,1.148,0.582,0.558,0.486,0.472,0.446,0.429,0.419,0.419,0.407,0.372,0.36,0.338,0.333,0.348,0.295,0.269,0.203,0.207,0.203,0.204,0.204,0.186,0.171,0.172,0.02,0.02,0.014,0.01,0.011,0.011,0.011,0.011,0.009,0.007,0.007,0.008,0.005,0.008,0.004,0.005,0.013,0.013,0.013,0.012,0.012,0.011,0.019,0.019
36501,10:08:21,-15.4329532,5.4085532,1115.3,1,1.148,0.529,0.506,0.432,0.418,0.392,0.372,0.363,0.363,0.351,0.315,0.303,0.28,0.275,0.289,0.235,0.208,0.179,0.185,0.178,0.178,0.179,0.157,0.136,0.145,0.026,0.024,0.022,0.016,0.016,0.016,0.015,0.016,0.015,0.011,0.013,0.012,0.011,0.012,0.01,0.009,0.017,0.013,0.013,0.012,0.013,0.018,0.008,0.012
36502,10:08:22,-15.4320428,5.4077085,1110.7,1,1.148,1.081,1.06,1.004,0.994,0.974,0.958,0.954,0.954,0.946,0.923,0.913,0.901,0.899,0.918,0.883,0.877,0.552,0.559,0.559,0.58,0.582,0.597,0.583,0.595,0.021,0.02,0.015,0.011,0.011,0.011,0.011,0.011,0.01,0.008,0.009,0.008,0.007,0.009,0.005,0.006,0.018,0.013,0.013,0.012,0.012,0.013,0.01,0.015
36503,10:08:23,-15.4311854,5.4068854,1105.6,1,1.148,1.118,1.092,1.04,1.03,1.011,0.997,0.991,0.991,0.983,0.96,0.952,0.94,0.939,0.958,0.925,0.92,0.875,0.884,0.883,0.917,0.924,0.965,0.956,0.972,0.021,0.021,0.016,0.012,0.012,0.012,0.013,0.013,0.011,0.008,0.009,0.01,0.007,0.009,0.005,0.005,0.015,0.013,0.013,0.012,0.012,0.012,0.013,0.025
36504,10:08:24,-15.4303207,5.4060686,1100.6,1,1.148,1.118,1.092,1.04,1.03,1.011,0.997,0.991,0.991,0.983,0.96,0.952,0.94,0.939,0.958,0.925,0.92,0.875,0.884,0.883,0.917,0.924,0.965,0.956,0.972,0.021,0.021,0.016,0.012,0.012,0.012,0.013,0.013,0.011,0.008,0.009,0.01,0.007,0.009,0.005,0.005,0.015,0.013,0.013,0.012,0.012,0.012,0.013,0.025
