Start_UTC,time_UTC, Latitude, Longitude, GPS_Alt, qual_flag, amass_aer, AOD0355, AOD0380, AOD0452, AOD0470, AOD0501, AOD0520, AOD0530, AOD0532, AOD0550, AOD0606, AOD0620, AOD0660, AOD0675, AOD0700, AOD0781, AOD0865, AOD1020, AOD1040, AOD1064, AOD1236, AOD1250, AOD1559, AOD1627, AOD1650, UNCAOD0355, UNCAOD0380, UNCAOD0452, UNCAOD0470, UNCAOD0501, UNCAOD0520, UNCAOD0530, UNCAOD0532, UNCAOD0550, UNCAOD0606, UNCAOD0620, UNCAOD0660, UNCAOD0675, UNCAOD0700, UNCAOD0781, UNCAOD0865, UNCAOD1020, UNCAOD1040, UNCAOD1064, UNCAOD1236, UNCAOD1250, UNCAOD1559, UNCAOD1627, UNCAOD1650
44811,12:26:51,-12.9341148,2.9743148,1212.3,0,1.063,0.461,0.439,0.369,0.349,0.321,0.303,0.294,0.294,0.28,0.241,0.229,0.209,0.198,0.213,0.153,0.126,0.089,0.084,0.085,0.07,0.068,0.05,0.044,0.05,0.01,0.009,0.007,0.005,0.005,0.005,0.005,0.004,0.005,0.007,0.004,0.004,0.003,0.005,0.004,0.005,0.006,0.007,0.007,0.008,0.007,0.005,0.015,0.008
44812,12:26:52,-12.9348518,2.9750461,1214.1,0,1.063,0.461,0.438,0.369,0.348,0.32,0.302,0.294,0.293,0.279,0.241,0.229,0.209,0.198,0.214,0.154,0.125,0.088,0.084,0.082,0.068,0.069,0.045,0.039,0.045,0.011,0.012,0.011,0.008,0.009,0.008,0.007,0.007,0.008,0.008,0.008,0.006,0.007,0.006,0.005,0.006,0.012,0.008,0.009,0.014,0.009,0.016,0.01,0.028
44813,12:26:53,-12.9356745,2.9757773,1215.9,0,1.063,0.46,0.437,0.368,0.348,0.319,0.301,0.293,0.293,0.279,0.241,0.229,0.209,0.197,0.212,0.152,0.127,0.087,0.084,0.081,0.068,0.071,0.046,0.034,0.047,0.015,0.01,0.011,0.009,0.007,0.007,0.007,0.006,0.007,0.007,0.007,0.007,0.005,0.005,0.004,0.004,0.01,0.007,0.007,0.007,0.009,0.008,0.012,0.008
44814,12:26:54,-12.936399,2.976499,1216.9,0,1.063,0.459,0.436,0.367,0.348,0.318,0.3,0.292,0.292,0.278,0.239,0.227,0.209,0.197,0.211,0.152,0.126,0.085,0.083,0.082,0.067,0.069,0.046,0.037,0.05,0.01,0.009,0.007,0.005,0.005,0.005,0.005,0.004,0.003,0.006,0.004,0.003,0.003,0.004,0.003,0.003,0.01,0.009,0.007,0.007,0.01,0.008,0.01,0.013
44815,12:26:55,-12.9371289,2.9773075,1218.6,0,1.063,0.462,0.437,0.369,0.348,0.32,0.302,0.293,0.292,0.279,0.241,0.228,0.208,0.199,0.212,0.152,0.125,0.088,0.084,0.084,0.068,0.069,0.049,0.039,0.05,0.01,0.01,0.007,0.005,0.005,0.005,0.005,0.004,0.003,0.006,0.004,0.003,0.003,0.004,0.003,0.003,0.006,0.008,0.009,0.007,0.008,0.006,0.015,0.017
44816,12:26:56,-12.9379216,2.9780526,1220.4,0,1.063,0.463,0.437,0.367,0.348,0.318,0.301,0.292,0.292,0.277,0.239,0.227,0.207,0.196,0.21,0.152,0.124,0.086,0.084,0.079,0.067,0.07,0.047,0.036,0.043,0.01,0.01,0.007,0.005,0.005,0.005,0.005,0.003,0.003,0.006,0.004,0.003,0.003,0.004,0.004,0.004,0.006,0.008,0.007,0.007,0.007,0.01,0.012,0.008
44817,12:26:57,-12.9392209,2.9792609,1223.4,0,1.063,0.461,0.436,0.367,0.348,0.319,0.301,0.293,0.292,0.277,0.24,0.228,0.208,0.197,0.211,0.151,0.123,0.087,0.084,0.081,0.068,0.07,0.049,0.042,0.051,0.011,0.009,0.007,0.005,0.005,0.005,0.006,0.004,0.004,0.007,0.004,0.003,0.003,0.004,0.003,0.004,0.009,0.008,0.007,0.007,0.01,0.006,0.012,0.016
44818,12:26:58,-12.9403117,2.9803117,1226.5,0,1.063,0.457,0.437,0.368,0.348,0.319,0.301,0.293,0.292,0.278,0.24,0.228,0.208,0.197,0.212,0.152,0.125,0.088,0.083,0.083,0.067,0.069,0.047,0.037,0.053,0.011,0.009,0.007,0.005,0.005,0.005,0.006,0.004,0.004,0.007,0.004,0.003,0.003,0.004,0.003,0.004,0.009,0.008,0.007,0.007,0.01,0.006,0.012,0.016
44819,12:26:59,-12.9410806,2.9810383,1228.8,0,1.063,0.457,0.437,0.368,0.348,0.319,0.301,0.293,0.292,0.278,0.24,0.228,0.208,0.197,0.212,0.152,0.125,0.088,0.083,0.083,0.067,0.069,0.047,0.037,0.053,0.011,0.009,0.007,0.005,0.005,0.005,0.006,0.004,0.004,0.007,0.004,0.003,0.003,0.004,0.003,0.004,0.009,0.008,0.007,0.007,0.01,0.006,0.012,0.016
44820,12:27:00,-12.9418633,2.9817962,1230.3,0,1.064,0.459,0.435,0.366,0.347,0.318,0.299,0.293,0.292,0.277,0.24,0.227,0.208,0.196,0.211,0.152,0.123,0.086,0.082,0.081,0.067,0.068,0.043,0.035,0.051,0.015,0.013,0.013,0.01,0.01,0.01,0.008,0.01,0.01,0.01,0.009,0.008,0.009,0.009,0.009,0.008,0.017,0.007,0.007,0.008,0.008,0.021,0.014,0.018
44821,12:27:01,-12.9426159,2.9825919,1231.5,0,1.064,0.455,0.434,0.366,0.346,0.318,0.299,0.292,0.29,0.277,0.238,0.227,0.207,0.197,0.212,0.153,0.124,0.087,0.082,0.082,0.067,0.068,0.046,0.037,0.046,0.012,0.011,0.009,0.007,0.007,0.008,0.007,0.007,0.007,0.008,0.006,0.006,0.006,0.006,0.006,0.005,0.013,0.009,0.008,0.008,0.007,0.008,0.018,0.01
44822,12:27:02,-12.9434148,2.9833148,1233.1,0,1.064,0.456,0.433,0.365,0.345,0.317,0.299,0.291,0.29,0.277,0.239,0.227,0.206,0.196,0.211,0.151,0.125,0.088,0.084,0.081,0.067,0.069,0.05,0.045,0.051,0.02,0.017,0.018,0.013,0.014,0.013,0.012,0.013,0.012,0.011,0.011,0.009,0.01,0.01,0.009,0.009,0.013,0.007,0.007,0.009,0.009,0.016,0.01,0.008
44823,12:27:03,-12.9441511,2.9840454,1234.1,0,1.064,0.459,0.434,0.365,0.346,0.318,0.299,0.291,0.291,0.276,0.239,0.227,0.207,0.196,0.21,0.152,0.122,0.085,0.083,0.079,0.068,0.069,0.044,0.035,0.045,0.01,0.009,0.008,0.005,0.006,0.005,0.005,0.005,0.003,0.006,0.005,0.004,0.003,0.004,0.003,0.004,0.008,0.01,0.008,0.009,0.007,0.008,0.026,0.009
44824,12:27:04,-12.9449627,2.9847668,1235.9,0,1.064,0.46,0.435,0.367,0.347,0.317,0.3,0.293,0.292,0.276,0.239,0.227,0.208,0.196,0.21,0.151,0.123,0.087,0.083,0.08,0.066,0.068,0.047,0.038,0.043,0.011,0.011,0.011,0.007,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.007,0.005,0.006,0.005,0.004,0.01,0.008,0.007,0.007,0.007,0.005,0.011,0.022
44825,12:27:05,-12.9457848,2.9854976,1238.6,0,1.064,0.462,0.433,0.367,0.347,0.318,0.3,0.292,0.292,0.277,0.239,0.228,0.208,0.196,0.211,0.151,0.124,0.086,0.085,0.081,0.067,0.068,0.046,0.037,0.043,0.02,0.017,0.018,0.014,0.014,0.013,0.012,0.013,0.012,0.011,0.011,0.009,0.01,0.01,0.009,0.009,0.013,0.007,0.007,0.009,0.009,0.017,0.01,0.008
44826,12:27:06,-12.9465289,2.9863075,1240.6,0,1.064,0.46,0.436,0.367,0.346,0.319,0.3,0.292,0.292,0.278,0.239,0.228,0.208,0.197,0.211,0.152,0.123,0.086,0.083,0.081,0.066,0.068,0.047,0.04,0.05,0.01,0.009,0.007,0.005,0.005,0.005,0.005,0.004,0.003,0.006,0.004,0.003,0.003,0.004,0.002,0.004,0.007,0.007,0.008,0.008,0.007,0.006,0.015,0.018
44827,12:27:07,-12.9473216,2.9870526,1242.4,0,1.064,0.455,0.434,0.366,0.347,0.318,0.3,0.291,0.291,0.277,0.239,0.227,0.207,0.197,0.211,0.151,0.124,0.086,0.082,0.082,0.066,0.069,0.045,0.039,0.047,0.015,0.01,0.011,0.008,0.008,0.008,0.007,0.007,0.007,0.009,0.008,0.005,0.007,0.006,0.005,0.005,0.016,0.008,0.007,0.007,0.007,0.006,0.015,0.011
44828,12:27:08,-12.9486209,2.9883209,1244.8,0,1.064,0.454,0.433,0.366,0.345,0.316,0.299,0.291,0.29,0.275,0.237,0.227,0.206,0.196,0.211,0.152,0.123,0.084,0.081,0.079,0.066,0.066,0.044,0.033,0.046,0.011,0.009,0.007,0.005,0.005,0.005,0.005,0.004,0.003,0.006,0.004,0.003,0.003,0.004,0.003,0.003,0.006,0.008,0.007,0.007,0.008,0.011,0.01,0.018
44829,12:27:09,-12.9497117,2.9894117,1247,0,1.064,0.457,0.433,0.365,0.345,0.315,0.297,0.29,0.29,0.275,0.238,0.226,0.206,0.195,0.21,0.149,0.123,0.085,0.082,0.079,0.067,0.068,0.043,0.034,0.047,0.015,0.011,0.013,0.009,0.01,0.008,0.008,0.009,0.008,0.009,0.008,0.006,0.006,0.006,0.004,0.004,0.013,0.007,0.007,0.009,0.007,0.014,0.016,0.011
44830,12:27:10,-12.9504806,2.9901383,1248.8,0,1.064,0.457,0.433,0.365,0.345,0.315,0.297,0.29,0.29,0.275,0.238,0.226,0.206,0.195,0.21,0.149,0.123,0.085,0.082,0.079,0.067,0.068,0.043,0.034,0.047,0.015,0.011,0.013,0.009,0.01,0.008,0.008,0.009,0.008,0.009,0.008,0.006,0.006,0.006,0.004,0.004,0.013,0.007,0.007,0.009,0.007,0.014,0.016,0.011
44831,12:27:11,-12.9512633,2.9908962,1250.7,0,1.064,0.457,0.431,0.366,0.346,0.317,0.299,0.291,0.29,0.276,0.238,0.226,0.207,0.196,0.209,0.15,0.122,0.085,0.084,0.079,0.066,0.069,0.042,0.036,0.047,0.015,0.011,0.012,0.009,0.01,0.008,0.007,0.008,0.006,0.008,0.008,0.006,0.005,0.006,0.005,0.004,0.012,0.008,0.007,0.008,0.007,0.019,0.014,0.015
44832,12:27:12,-12.9520159,2.9916919,1252.2,0,1.064,0.457,0.43,0.363,0.343,0.315,0.297,0.289,0.289,0.275,0.236,0.225,0.206,0.194,0.209,0.15,0.121,0.085,0.082,0.079,0.064,0.067,0.043,0.035,0.044,0.01,0.009,0.007,0.005,0.005,0.005,0.005,0.003,0.003,0.006,0.004,0.003,0.003,0.004,0.002,0.004,0.007,0.008,0.007,0.007,0.009,0.008,0.01,0.008
44833,12:27:13,-12.9528292,2.9924148,1253.3,0,1.064,0.456,0.43,0.363,0.344,0.315,0.298,0.29,0.289,0.275,0.236,0.225,0.205,0.195,0.21,0.151,0.123,0.085,0.082,0.08,0.066,0.066,0.049,0.036,0.047,0.01,0.01,0.008,0.006,0.007,0.007,0.006,0.006,0.005,0.007,0.006,0.006,0.007,0.005,0.005,0.003,0.013,0.008,0.007,0.007,0.007,0.012,0.018,0.011
44834,12:27:14,-12.9536454,2.9931511,1255.1,0,1.064,0.457,0.431,0.364,0.344,0.315,0.296,0.29,0.289,0.274,0.237,0.225,0.206,0.195,0.21,0.15,0.123,0.085,0.082,0.08,0.066,0.069,0.048,0.04,0.054,0.02,0.017,0.018,0.013,0.014,0.013,0.012,0.013,0.012,0.011,0.011,0.009,0.01,0.01,0.009,0.009,0.013,0.007,0.007,0.009,0.009,0.016,0.01,0.008
44835,12:27:15,-12.9543668,2.9939627,1256.9,0,1.064,0.458,0.433,0.365,0.345,0.316,0.298,0.291,0.29,0.276,0.237,0.226,0.206,0.195,0.21,0.151,0.122,0.085,0.082,0.079,0.066,0.068,0.047,0.037,0.048,0.011,0.009,0.008,0.005,0.005,0.005,0.006,0.004,0.004,0.007,0.004,0.004,0.003,0.004,0.003,0.004,0.009,0.008,0.007,0.007,0.009,0.005,0.013,0.017
44836,12:27:16,-12.9551848,2.9946976,1257.9,0,1.064,0.457,0.434,0.366,0.345,0.316,0.299,0.291,0.29,0.277,0.238,0.227,0.207,0.196,0.21,0.152,0.125,0.088,0.084,0.081,0.067,0.069,0.047,0.041,0.05,0.01,0.01,0.007,0.005,0.005,0.005,0.005,0.003,0.003,0.006,0.004,0.003,0.005,0.004,0.003,0.003,0.006,0.007,0.008,0.007,0.007,0.02,0.015,0.025
44837,12:27:17,-12.9560075,2.9954289,1259.6,0,1.064,0.456,0.433,0.365,0.345,0.316,0.298,0.29,0.29,0.275,0.237,0.226,0.207,0.195,0.21,0.151,0.123,0.085,0.082,0.08,0.067,0.068,0.046,0.036,0.042,0.015,0.012,0.014,0.01,0.01,0.009,0.009,0.01,0.009,0.009,0.009,0.007,0.007,0.007,0.005,0.005,0.014,0.008,0.007,0.008,0.007,0.012,0.01,0.008
44838,12:27:18,-12.9567526,2.9962216,1261.4,0,1.064,0.457,0.433,0.366,0.346,0.317,0.299,0.291,0.29,0.276,0.237,0.226,0.206,0.196,0.211,0.15,0.123,0.084,0.082,0.079,0.067,0.068,0.044,0.036,0.046,0.011,0.01,0.01,0.007,0.008,0.007,0.008,0.007,0.006,0.007,0.007,0.006,0.005,0.005,0.004,0.003,0.01,0.008,0.007,0.007,0.007,0.005,0.01,0.02
44839,12:27:19,-12.9580209,2.9975209,1264.4,0,1.064,0.457,0.433,0.366,0.346,0.317,0.299,0.291,0.291,0.276,0.238,0.226,0.207,0.196,0.21,0.151,0.123,0.087,0.081,0.08,0.067,0.067,0.045,0.041,0.046,0.01,0.011,0.007,0.005,0.006,0.005,0.005,0.004,0.004,0.006,0.004,0.004,0.003,0.004,0.004,0.004,0.006,0.009,0.008,0.008,0.007,0.005,0.01,0.009
44840,12:27:20,-12.9591632,2.9986117,1267,0,1.064,0.458,0.434,0.366,0.347,0.318,0.3,0.291,0.291,0.276,0.239,0.226,0.206,0.196,0.211,0.151,0.123,0.087,0.083,0.082,0.067,0.069,0.048,0.04,0.056,0.01,0.009,0.007,0.005,0.005,0.005,0.005,0.004,0.003,0.006,0.004,0.003,0.003,0.004,0.003,0.004,0.011,0.008,0.007,0.008,0.007,0.006,0.01,0.008
44841,12:27:21,-12.9599806,2.9993383,1268.4,0,1.064,0.458,0.434,0.366,0.347,0.318,0.3,0.291,0.291,0.276,0.239,0.226,0.206,0.196,0.211,0.151,0.123,0.087,0.083,0.082,0.067,0.069,0.048,0.04,0.056,0.01,0.009,0.007,0.005,0.005,0.005,0.005,0.004,0.003,0.006,0.004,0.003,0.003,0.004,0.003,0.004,0.011,0.008,0.007,0.008,0.007,0.006,0.01,0.008
